기간	지역	구분	합계	14세 이하	15~20세	21~30세	31~40세	41~50세	51~60세	61-64세	65~70세	71세이상	불명
2019	합계	사망자수	250	3	9	30	17	29	40	19	31	72	-
2019	합계	부상자수	53,904	2,078	2,466	10,542	10,558	9,242	9,457	3,339	3,037	3,163	22
2019	종로구	사망자수	6	-	-	3	-	1	-	-	-	2	-
2019	종로구	부상자수	1,559	29	49	312	294	284	293	97	87	114	-
2019	중구	사망자수	5	-	-	-	-	1	-	1	2	1	-
2019	중구	부상자수	1,615	35	40	310	354	306	324	93	79	74	-
2019	용산구	사망자수	10	-	-	3	-	1	3	1	1	1	-
2019	용산구	부상자수	1,614	37	41	420	352	273	249	91	90	61	-
2019	성동구	사망자수	13	-	-	1	1	2	1	-	2	6	-
2019	성동구	부상자수	1,439	70	41	292	289	248	272	67	64	96	-
2019	광진구	사망자수	3	-	-	2	-	-	-	-	1	-	-
2019	광진구	부상자수	1,316	58	61	279	268	217	207	93	69	64	-
2019	동대문구	사망자수	15	-	1	1	1	1	4	2	2	3	-
2019	동대문구	부상자수	1,988	57	118	343	307	330	365	144	137	187	-
2019	중랑구	사망자수	12	-	-	1	1	1	1	1	2	5	-
2019	중랑구	부상자수	2,122	91	120	378	339	344	419	136	141	154	-
2019	성북구	사망자수	8	-	-	1	-	1	1	-	2	3	-
2019	성북구	부상자수	2,007	89	92	369	381	334	339	125	129	149	-
2019	강북구	사망자수	7	-	1	1	1	-	1	-	-	3	-
2019	강북구	부상자수	1,706	79	86	316	313	292	304	90	111	115	-
2019	도봉구	사망자수	4	-	1	1	-	-	1	-	1	-	-
2019	도봉구	부상자수	1,163	62	92	178	156	189	209	83	75	119	-
2019	노원구	사망자수	8	-	1	-	-	1	4	-	1	1	-
2019	노원구	부상자수	2,302	101	163	371	373	413	437	132	149	162	1
2019	은평구	사망자수	7	-	-	1	-	-	1	-	1	4	-
2019	은평구	부상자수	1,464	80	61	202	212	264	288	107	100	150	-
2019	서대문구	사망자수	14	-	-	1	-	-	-	2	3	8	-
2019	서대문구	부상자수	1,609	65	89	309	282	260	279	108	102	115	-
2019	마포구	사망자수	7	-	-	1	1	-	1	1	-	3	-
2019	마포구	부상자수	2,123	62	120	537	430	308	324	134	106	98	4
2019	양천구	사망자수	11	2	-	2	-	-	4	-	-	3	-
2019	양천구	부상자수	2,085	108	114	368	375	378	357	137	119	128	1
2019	강서구	사망자수	20	1	-	1	2	4	4	-	2	6	-
2019	강서구	부상자수	2,491	126	117	471	498	402	432	162	145	138	-
2019	구로구	사망자수	13	-	-	1	1	1	4	1	2	3	-
2019	구로구	부상자수	2,096	103	101	356	418	346	395	141	101	134	1
2019	금천구	사망자수	9	-	1	-	-	2	1	2	2	1	-
2019	금천구	부상자수	1,353	38	68	269	250	239	258	83	72	76	-
2019	영등포구	사망자수	11	-	-	1	3	-	3	2	-	2	-
2019	영등포구	부상자수	3,451	116	170	672	673	562	643	240	204	171	-
2019	동작구	사망자수	5	-	-	1	-	3	-	-	-	1	-
2019	동작구	부상자수	2,021	69	124	412	417	312	335	128	101	123	-
2019	관악구	사망자수	10	-	-	-	1	1	2	1	-	5	-
2019	관악구	부상자수	1,755	52	63	435	342	281	291	85	90	112	4
2019	서초구	사망자수	14	-	1	2	1	3	1	1	2	3	-
2019	서초구	부상자수	3,530	105	116	762	818	660	574	184	173	135	3
2019	강남구	사망자수	14	-	2	3	-	1	1	1	3	3	-
2019	강남구	부상자수	5,182	153	186	1,137	1,281	962	802	289	208	158	6
2019	송파구	사망자수	13	-	1	1	4	2	1	2	1	1	-
2019	송파구	부상자수	4,003	198	169	747	810	731	680	244	234	188	2
2019	강동구	사망자수	11	-	-	1	-	3	1	1	1	4	-
2019	강동구	부상자수	1,910	95	65	297	326	307	381	146	151	142	-
